authorPerson,work,citationYear,familyName,givenName,name,birthYear,deathYear
http://e-editiones.ch/project/data/delille#person-fremontgarnier,http://e-editiones.ch/project/data/delille#work-fremontgarnierlettres,1822,,,Frémont-Garnier,,
http://e-editiones.ch/project/data/delille#person-gallet,http://e-editiones.ch/project/data/delille#work-galletpremiere,1801,Gallet,Pierre,,,
http://e-editiones.ch/project/data/delille#person-garrigou,http://e-editiones.ch/project/data/delille#work-rameshommefossile,1862,Garrigou,Félix,,,
http://e-editiones.ch/project/data/delille#person-gauss,http://e-editiones.ch/project/data/delille#work-gaussstammbuch,1849,Gauss,Heinrich,,,
http://e-editiones.ch/project/data/delille#person-gautier,http://e-editiones.ch/project/data/delille#work-gautiercomedie,1838,Gautier,Théophile,,,
http://e-editiones.ch/project/data/delille#person-gay,http://e-editiones.ch/project/data/delille#work-gaychats,1866,Gay,Jean,,,
http://e-editiones.ch/project/data/delille#person-geoffroy,http://e-editiones.ch/project/data/delille#work-geoffroyhommedeschamps,1800,Geoffroy,Julien-Louis,,,
http://e-editiones.ch/project/data/delille#person-geoffroy,http://e-editiones.ch/project/data/delille#work-geoffroycrspectateurfr,1810,Geoffroy,Julien-Louis,,,
http://e-editiones.ch/project/data/delille#person-georgesmarieraymond,http://e-editiones.ch/project/data/delille#work-raymondlettre,1806,Raymond,Georges-Marie,,,
http://e-editiones.ch/project/data/delille#person-girard,http://e-editiones.ch/project/data/delille#work-girardcours,1848,Girard,Grégoire,,,
http://e-editiones.ch/project/data/delille#person-girault-duvivier,http://e-editiones.ch/project/data/delille#work-girault-duviviergrammaire,1822,Girault-Duvivier,Charles-Pierre,,,
http://e-editiones.ch/project/data/delille#person-gnph,http://e-editiones.ch/project/data/delille#work-gnphsiecles,1808,,,G.N.P.H.,,
http://e-editiones.ch/project/data/delille#person-gourmont,http://e-editiones.ch/project/data/delille#work-gourmontculture,1900,Gourmont,Remy de,,,
http://e-editiones.ch/project/data/delille#person-graffenauer,http://e-editiones.ch/project/data/delille#work-graffenauerhistoire,1821,Graffenhauer,Jean-Philippe,,,
http://e-editiones.ch/project/data/delille#person-graffenauer,http://e-editiones.ch/project/data/delille#work-graffenauermemoiressocietestrasbourg,1823,Graffenhauer,Jean-Philippe,,,
http://e-editiones.ch/project/data/delille#person-grellet,http://e-editiones.ch/project/data/delille#work-grelletmemoiresacademieclermont,1863,Grellet de la Deyte,Félix,,,
http://e-editiones.ch/project/data/delille#person-guillaume,http://e-editiones.ch/project/data/delille#work-guillaumestation,1878,Guillaume,Paul,,,
http://e-editiones.ch/project/data/delille#person-guillon,http://e-editiones.ch/project/data/delille#work-guillonlafontaine,1803,Guillon,Marie-Nicolas-Silvestre,,,
http://e-editiones.ch/project/data/delille#person-guillon,http://e-editiones.ch/project/data/delille#work-guillonfables,1829,Guillon,Marie-Nicolas-Silvestre,,,
http://e-editiones.ch/project/data/delille#person-guinguene,http://e-editiones.ch/project/data/delille#work-guinguenecompterendudecade,1800,Ginguené,Pierre-Louis,,,
http://e-editiones.ch/project/data/delille#person-hammer,http://e-editiones.ch/project/data/delille#work-hammerperegrinazione,1839,Hammer-Purgstall,Joseph von,,,
http://e-editiones.ch/project/data/delille#person-harrau,http://e-editiones.ch/project/data/delille#work-harraumalo,1899,Harrau,Louis,,,
http://e-editiones.ch/project/data/delille#person-helenwilliams,http://e-editiones.ch/project/data/delille#work-williamsnouveauvoyage,1798,Williams,Helen Maria,,,
http://e-editiones.ch/project/data/delille#person-henckelvondonnersmarck,http://e-editiones.ch/project/data/delille#work-neuesbotanischestaschenbuch1810,1810,Henckel von Donnersmarck,Leo Victor Felix,,,
http://e-editiones.ch/project/data/delille#person-henon,http://e-editiones.ch/project/data/delille#work-henonmoutonfontenilleart,1802,Hénon,Jacques-Marie,,,
http://e-editiones.ch/project/data/delille#person-hort,http://e-editiones.ch/project/data/delille#work-hortnouveaulecteur,1822,Hort,William Jillard,,,
http://e-editiones.ch/project/data/delille#person-jacquemard,http://e-editiones.ch/project/data/delille#work-jacquemardelements,1805,Jacquemard,Étienne,,,
http://e-editiones.ch/project/data/delille#person-jacquemard,http://e-editiones.ch/project/data/delille#work-jacquemardabrege,1811,Jacquemard,Étienne,,,
http://e-editiones.ch/project/data/delille#person-jacquemart,http://e-editiones.ch/project/data/delille#work-jacquemartflore,1840,Jacquemart,Albert,,,
http://e-editiones.ch/project/data/delille#person-jay,http://e-editiones.ch/project/data/delille#work-jayjouyvernet,1822,Jay,Antoine,,,
http://e-editiones.ch/project/data/delille#person-jd,http://e-editiones.ch/project/data/delille#work-jdtheatre,1886,,,J.D.,,
http://e-editiones.ch/project/data/delille#person-jeanmeunier,http://e-editiones.ch/project/data/delille#work-meunierlauraguais,1926,Meunier,Jean,,,
http://e-editiones.ch/project/data/delille#person-jeanroyfelix,http://e-editiones.ch/project/data/delille#work-jeanroyfelixnouvellehistoire,1886,Jeanroy-Félix,Victor,,,
http://e-editiones.ch/project/data/delille#person-jehan,http://e-editiones.ch/project/data/delille#work-jehanesquisses,1841,Jéhan,Louis-François,,,
http://e-editiones.ch/project/data/delille#person-jehan,http://e-editiones.ch/project/data/delille#work-jehandictionnaire,1852,Jéhan,Louis-François,,,
http://e-editiones.ch/project/data/delille#person-jobert,http://e-editiones.ch/project/data/delille#work-croizetjobertrecherches,1828,Jobert,Antoine,,,
http://e-editiones.ch/project/data/delille#person-johannesvonmueller,http://e-editiones.ch/project/data/delille#work-muellersaemmtlichewerke6,1811,Müller,Johannes von,,,
http://e-editiones.ch/project/data/delille#person-joliet,http://e-editiones.ch/project/data/delille#work-jolietjournaldelajeunesse,1881,Joliet,Charles,,,
http://e-editiones.ch/project/data/delille#person-jouard,http://e-editiones.ch/project/data/delille#work-jouardvaccine,1803,Jouard,Gabriel,,,
http://e-editiones.ch/project/data/delille#person-jouy,http://e-editiones.ch/project/data/delille#work-jayjouyvernet,1822,Jouy,Étienne de,,,
